InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.11:2916,34,280539,32,500000,2048,0,1000,"[5,15,47,50]",OK,253096,689888,438382,189888,327,777,327,273,755,273,690488,439914,190488,24.480175,-460,-449,-251,-41,200,867,2145,-453
10.10.0.9:2913,13,281643,32,500000,2048,0,1000,"[5,15,47,50]",OK,253272,691463,441063,191463,286,742,286,395,743,395,692144,442548,192144,130.99896,-334,-327,-147,43,335,993,2460,-327
10.10.0.3:2914,22,281369,32,500000,2048,0,1000,"[5,15,47,50]",OK,253011,691074,440334,191074,356,877,356,423,869,423,691853,442080,191853,346.60318,-168,-157,83,284,572,1391,2850,-161
10.10.0.8:2915,95,278527,32,500000,2048,0,1000,"[5,15,47,50]",OK,253284,896740,646090,396740,1099,1595,1099,833,1161,833,898672,648846,398672,-143.84558,-668,-660,-429,-216,92,892,3210,-660
10.10.0.9:2916,14,280616,32,500000,2048,0,1000,"[5,15,47,50]",OK,253408,693561,443381,193561,389,811,389,315,703,315,694265,444895,194265,208.07454,-284,-273,-49,159,410,1042,3252,-277
10.10.0.8:2913,82,277953,32,500000,2048,0,1000,"[5,15,47,50]",OK,253468,732730,481572,232730,351,689,351,180,580,180,733261,482841,233261,-838.99396,-1327,-1317,-1133,-808,-634,-106,977,-1319
10.10.0.6:2912,89,279392,32,500000,2048,0,1000,"[5,15,47,50]",OK,253248,817610,567796,317610,355,638,355,958,1554,958,818923,569988,318923,-72.24071,-645,-634,-308,-76,116,683,2064,-650
10.10.0.6:2914,92,279488,32,500000,2048,0,1000,"[5,15,47,50]",OK,253297,800432,550757,300432,376,661,376,908,1512,908,801716,552930,301716,-364.50192,-904,-896,-634,-376,-165,657,1895,-909
10.10.0.3:2915,25,280878,32,500000,2048,0,1000,"[5,15,47,50]",OK,253000,689812,438509,189812,88,351,88,818,1596,818,690718,440456,190718,242.3471,-252,-241,-18,125,433,1074,2827,-245
10.10.0.23:2912,58,279820,32,500000,2048,0,1000,"[5,15,47,50]",OK,255665,1290118,1039405,790118,1371,1786,1371,35,62,35,1291524,1041253,791524,-323.0443,-809,-766,-507,-390,-150,517,2446,-802
10.10.0.17:2912,79,279976,32,500000,2048,0,1000,"[5,15,47,50]",OK,253347,756751,505335,256751,0,0,0,2030,3939,2030,758781,509274,258781,151.62169,-386,-376,-75,142,366,850,2619,-378
10.10.0.4:2917,66,278669,32,500000,2048,0,1000,"[5,15,47,50]",OK,253510,747060,496744,247060,99,382,99,410,837,410,747569,497963,247569,-278.96133,-826,-815,-522,-299,-75,422,2098,-819
10.10.0.6:2916,96,279391,32,500000,2048,0,1000,"[5,15,47,50]",OK,255599,1243677,994556,743677,862,1430,862,0,21,0,1244539,996007,744539,-207.5122,-695,-684,-427,-193,-45,864,2433,-700
10.10.0.22:2917,98,277219,32,500000,2048,0,1000,"[5,15,47,50]",OK,255422,1185582,935789,685582,1180,1717,1180,46,78,46,1186808,937584,686808,-733.56555,-1218,-1216,-1074,-830,-508,350,1728,-1175
10.10.0.14:2917,16,281058,32,500000,2048,0,1000,"[5,15,47,50]",OK,253674,948730,698568,448730,1217,1685,1217,116,428,116,950063,700681,450063,350.1752,-84,-50,117,261,575,1135,3920,-91
10.10.0.15:2917,10,282284,32,500000,2048,0,1000,"[5,15,47,50]",OK,253023,694985,444228,194985,269,536,269,565,1348,565,695819,446112,195819,298.13168,-209,-198,32,267,486,1117,3239,-202
10.10.0.5:2916,86,278194,32,500000,2048,0,1000,"[5,15,47,50]",OK,253114,827335,576659,327335,550,998,550,468,911,468,828353,578568,328353,486.57352,-11,-3,225,450,725,1316,2545,-3
10.10.0.14:2914,23,281646,32,500000,2048,0,1000,"[5,15,47,50]",OK,253062,690881,439857,190881,470,1008,470,296,726,296,691647,441591,191647,123.96794,-334,-324,-134,50,333,992,2117,-341
10.10.0.5:2912,104,278234,32,500000,2048,0,1000,"[5,15,47,50]",OK,255309,1355982,1105068,855982,111,128,111,630,898,630,1356723,1106094,856723,-489.8154,-1085,-1041,-749,-608,-325,242,1840,-1077
10.10.0.22:2914,75,278485,32,500000,2048,0,1000,"[5,15,47,50]",OK,253533,893037,643503,393037,657,1061,657,316,663,316,894010,645227,394010,319.96356,-178,-176,82,332,499,1040,2432,-135
10.10.0.3:2913,31,280393,32,500000,2048,0,1000,"[5,15,47,50]",OK,252801,692322,440790,192322,18,52,18,1659,3825,1659,693999,444667,193999,-191.67535,-660,-649,-459,-275,8,666,3194,-653
10.10.0.8:2914,52,278152,32,500000,2048,0,1000,"[5,15,47,50]",OK,253259,690460,440067,190460,195,625,195,358,804,358,691013,441496,191013,251.66312,-235,-224,33,183,433,1091,2584,-228
10.10.0.6:2917,60,278167,32,500000,2048,0,1000,"[5,15,47,50]",OK,253382,690535,440419,190535,170,641,170,310,636,310,691015,441696,191015,-314.0894,-811,-799,-575,-391,-149,516,1617,-816
10.10.0.6:2913,50,278191,32,500000,2048,0,1000,"[5,15,47,50]",OK,256200,1409700,1160161,909700,612,997,612,14,20,14,1410326,1161178,910326,-383.31165,-845,-810,-592,-434,-184,384,2499,-850
