InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.17:2915,21,598793,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,267333,142986,99217,42986,65,141,65,2767,6543,2767,145818,105901,45818,274.33987,-274,-240,18,167,501,1085,1119,-277
10.10.0.5:2912,46,596961,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,249908,146913,100794,46913,87,172,87,3630,9606,3630,150630,110572,50630,194.50558,-317,-317,-8,132,383,1041,1115,-319
10.10.0.7:2917,98,596092,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,341957,150084,108655,50084,211,417,211,87,1520,87,150382,110592,50382,-291.1363,-892,-858,-576,-326,-34,467,540,-895
10.10.0.16:2914,79,596872,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,270896,146505,103300,46505,5,12,5,1157,4723,1157,147667,108035,47667,-551.6702,-1141,-1107,-824,-583,-332,217,291,-1144
10.10.0.4:2912,88,596819,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,272052,142684,99145,42684,248,454,248,1803,5162,1803,144735,104761,44735,-525.27423,-1141,-1107,-792,-532,-282,217,291,-1144
10.10.0.4:2917,78,597596,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,271469,147448,104209,47448,1,9,1,952,4537,952,148401,108755,48401,-331.07837,-924,-889,-615,-374,-66,434,507,-927
10.10.0.14:2917,18,598870,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,247394,145228,98505,45228,42,122,42,5350,12016,5350,150620,110643,50620,220.85666,-309,-274,-34,133,483,1049,1085,-311
10.10.0.22:2912,14,599534,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,245582,145035,97916,45035,70,226,70,6265,13088,6265,151370,111230,51370,273.16095,-293,-259,-17,224,483,1066,1140,-295
10.10.0.18:2912,39,598026,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,271032,147731,104242,47731,315,521,315,2204,5567,2204,150250,110330,50250,-58.734516,-609,-574,-316,-159,249,750,824,-611
10.10.0.28:2912,53,597410,24,100000,8192,8,1000,"[2,7,17,22,37,40]",OK,271519,145527,102225,45527,37,140,37,1193,4701,1193,146757,107066,46757,-254.0619,-791,-757,-483,-341,-17,567,602,-794
