InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.7:2917,76,471790,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,327982,143041,96638,43041,173,244,173,760,1893,760,143974,98775,43974,-371.3697,-911,-909,-650,-375,-200,625,626,-911
10.10.0.5:2917,22,474694,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,321466,147587,101125,47587,14,24,14,1293,2793,1293,148894,103942,48894,73.88593,-386,-385,-224,-24,334,975,1176,-386
10.10.0.5:2914,15,473516,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,319839,144205,97736,44205,0,0,0,2032,3664,2032,146237,101400,46237,243.64453,-202,-201,-57,117,517,1159,1372,-202
10.10.0.20:2917,46,472121,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,311518,150684,102638,50684,4,10,4,2187,4867,2187,152875,107515,52875,192.82306,-285,-283,-91,77,467,1251,1251,-286
10.10.0.18:2917,72,471232,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,328473,146098,100162,46098,38,48,38,632,1716,632,146768,101926,46768,-235.24277,-727,-725,-467,-291,-17,633,818,-728
10.10.0.9:2916,24,473568,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,317225,143369,95944,43369,0,0,0,1571,3543,1571,144940,99487,44940,316.64368,-111,-110,83,275,508,1250,1426,-111
10.10.0.14:2914,1,474443,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,390594,149443,642207,49443,0,0,0,706,3154,706,150149,645361,50149,487.09506,-12,-5,196,391,715,1525,1534,35
10.10.0.3:2916,60,472150,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,317599,142708,95693,42708,73,164,73,848,2708,848,143629,98565,43629,153.27602,-327,-326,-134,67,425,1033,1209,-328
10.10.0.23:2913,100,470708,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,355201,146241,101095,46241,430,585,430,14,576,14,146685,102256,46685,151.26056,-393,-391,-108,143,392,967,1143,-394
10.10.0.18:2913,84,470633,28,100000,8192,4,1000,"[2,7,17,19,42,45]",OK,321137,146703,100089,46703,51,70,51,657,2181,657,147411,102340,47411,-582.3075,-1077,-1075,-817,-617,-357,153,459,-1078
