InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.17:2915,104,42449,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19857,31686,27462,21686,294,368,294,204,258,204,32184,28088,22184,-627.4144,-1175,-1107,-841,-650,-376,-111,7,-1212
10.10.0.5:2912,97,41157,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19869,23670,19368,13670,583,864,583,0,0,0,24253,20232,14253,120.28841,-426,-408,-169,100,364,717,803,-462
10.10.0.7:2917,27,44844,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19852,18155,13918,8155,522,798,522,0,0,0,18677,14716,8677,261.9067,-184,-167,1,175,551,907,1035,-220
10.10.0.16:2914,96,39576,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19854,27700,23397,17700,776,1075,776,0,0,0,28476,24472,18476,-205.41893,-742,-725,-531,-217,58,400,486,-778
10.10.0.4:2912,7,44502,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19855,18989,14910,8989,97,164,97,101,156,101,19187,15230,9187,432.45956,-17,17,177,350,700,1126,1199,-54
10.10.0.4:2917,9,45514,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19858,18297,14212,8297,6,11,6,140,250,140,18443,14473,8443,178.53603,-258,-241,-64,160,352,884,964,-295
10.10.0.14:2917,45,43426,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19858,18069,13935,8069,7,22,7,124,240,124,18200,14197,8200,-360.41833,-775,-758,-591,-433,-216,315,440,-811
10.10.0.22:2912,106,40726,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19863,32935,28757,22935,360,440,360,190,231,190,33485,29428,23485,346.0767,-193,-175,59,332,567,983,1023,-229
10.10.0.18:2912,12,43868,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19855,18812,14684,8812,96,170,96,64,123,64,18972,14977,8972,395.16226,17,36,183,276,575,1143,1245,-36
10.10.0.22:2916,93,39783,16,10000,512,0,1000,"[2,7,17,22,37,40]",OK,19855,24411,20261,14411,170,225,170,88,133,88,24669,20619,14669,-516.42426,-1018,-1017,-750,-508,-275,50,238,-1054
