InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.17:2915,34,225989,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201925,145751,105850,45751,144,292,144,2,4,2,145897,106146,45897,5.262026,-493,-492,-226,-68,122,950,1035,-495
10.10.0.5:2912,71,225979,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201717,183622,143045,83622,84,124,84,183,307,183,183889,143476,83889,-634.4673,-1126,-1125,-858,-684,-458,251,401,-1128
10.10.0.7:2917,97,225802,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201589,182948,142983,82948,0,4,0,422,714,422,183370,143701,83370,-896.3723,-1442,-1441,-1141,-966,-650,-65,124,-1444
10.10.0.16:2914,9,227777,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201533,146386,106395,46386,105,238,105,28,75,28,146519,106708,46519,216.56183,-267,-267,-8,101,392,1175,1299,-269
10.10.0.4:2912,68,225485,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,202011,156498,116106,56498,210,424,210,0,0,0,156708,116530,56708,-238.04228,-684,-683,-417,-316,-109,696,843,-686
10.10.0.4:2917,69,225480,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201857,153197,113231,53197,208,429,208,3,5,3,153408,113665,53408,197.60605,-309,-308,-16,132,365,1133,1218,-311
10.10.0.14:2917,0,228718,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201585,236471,411645,136471,465,1232,465,58,139,58,236994,413016,136994,314.39053,-176,-175,76,251,482,1267,1352,-177
10.10.0.22:2912,49,226733,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201788,168704,128282,68704,0,0,0,377,658,377,169081,128940,69081,173.89046,-333,-333,-40,108,334,1109,1195,-335
10.10.0.18:2912,46,225099,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201547,145849,105400,45849,75,149,75,68,162,68,145992,105711,45992,78.37366,-426,-425,-159,7,241,1015,1100,-428
10.10.0.28:2912,86,225151,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,202206,169469,129336,69469,107,209,107,2,2,2,169578,129547,69578,24.73987,-493,-492,-226,-12,207,884,1033,-495
10.10.0.22:2916,58,225453,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,202082,183463,143411,83463,156,268,156,6,8,6,183625,143687,83625,20.869688,-467,-466,-201,-41,191,909,1059,-469
10.10.0.17:2916,56,227093,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,202003,153679,113583,53679,120,243,120,0,8,0,153799,113834,53799,48.58407,-484,-483,-184,-52,200,1042,1046,-486
10.10.0.9:2917,43,225619,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201951,161393,121801,61393,36,112,36,55,88,55,161484,122001,61484,186.72923,-292,-291,-25,109,300,1085,1234,-295
10.10.0.15:2914,37,226084,32,100000,8192,0,1000,"[2,7,17,22,37,40]",OK,201511,145886,105390,45886,108,243,108,39,69,39,146033,105702,46033,-327.09625,-793,-792,-526,-392,-191,649,734,-795
