InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.11:2922,234,541602,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,259754,1133103,821150,633103,31,32,31,32778,45470,32778,1165912,866652,665912,303.56067,0,0,0,0,0,5,141002,0
10.10.0.9:2919,354,516644,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,263652,1263340,953944,763340,102,117,102,21402,31150,21402,1284844,985211,784844,91.06612,0,0,0,0,0,1,137983,0
10.10.0.3:2921,177,545703,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,257583,757364,444040,257364,9,27,9,16306,31033,16306,773679,475100,273679,851.71716,0,0,0,0,0,34290,124241,0
10.10.0.6:2913,149,544236,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,259680,730963,418594,230963,1133,2157,1133,14771,25868,14771,746867,446619,246867,586.1404,0,0,0,0,1,20767,137773,0
10.10.0.8:2928,125,546372,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,263979,1047846,738957,547846,1246,1802,1246,6905,15726,6905,1055997,756485,555997,71.408134,0,0,0,0,0,1,136581,0
10.10.0.9:2927,359,520367,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,275313,1632625,1325523,1132625,322,350,322,7218,14775,7218,1640165,1340648,1140165,31.217289,0,0,0,0,0,1,116386,0
10.10.0.9:2915,343,518586,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,266713,944812,636139,444812,5669,6672,5669,10200,18206,10200,960681,661017,460681,217.06648,0,0,0,0,0,5402,140188,0
10.10.0.7:2912,102,544666,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,259189,885198,572219,385198,2184,3204,2184,19292,31420,19292,906674,606843,406674,722.7344,0,0,0,0,0,26934,165025,0
10.10.0.10:2918,274,543511,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,257106,766510,452720,266510,1611,2732,1611,19708,32451,19708,787829,487903,287829,727.6176,0,0,0,0,0,26648,140862,0
10.10.0.22:2925,205,543615,28,500000,8,4,3000,"[4,9,19,24,31,39,49,55,60]",OK,264117,1181127,870577,681127,46,61,46,27264,37291,27264,1208437,907929,708437,404.19763,0,0,0,0,0,2085,125415,0
