InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,53,1192412,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,1000896,1202892,924632,702892,1813,2374,1813,9831,12819,9831,1214536,939825,714536,882.1112,0,0,1,10,169,9742,15240,0
10.10.0.29:2912,35,1191021,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,1090976,952094,677387,452094,133,193,133,5,145,5,952232,677725,452232,607.97406,0,0,1,2,101,9553,15990,0
10.10.0.33:2915,46,1184008,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,665542,765556,443982,265556,1275,1777,1275,84890,130866,84890,851721,576625,351721,267.65802,0,0,0,1,4,9377,19947,0
10.10.0.32:2915,18,1189988,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,549792,870071,521389,370071,107,152,107,82782,156711,82782,952960,678252,452960,48.601017,0,0,0,1,1,1013,14957,0
10.10.0.11:2912,8,1195662,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,540274,848745,1887190,348745,0,6,0,118661,904289,118661,967406,2791485,467406,19.105526,0,0,0,1,1,102,9712,0
10.10.0.29:2913,42,1190497,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,508391,794466,435299,294466,1629,2169,1629,115991,199880,115991,912086,637348,412086,54.221134,0,0,0,1,1,1424,12286,0
10.10.0.11:2914,33,1194739,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,981598,1069753,790288,569753,2248,2811,2248,13190,17106,13190,1085191,810205,585191,1216.7043,0,0,1,5,90,11631,20923,0
10.10.0.4:2912,36,1192412,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,572695,774594,432111,274594,64,115,64,150378,218656,150378,925036,650882,425036,134.86436,0,0,0,1,2,4590,20054,0
10.10.0.26:2912,50,1182759,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,751609,1059613,756473,559613,1029,1609,1029,73317,101681,73317,1133959,859763,633959,66.59728,0,0,0,1,2,782,14955,0
10.10.0.32:2913,23,1195495,8,500000,131072,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,798237,861540,564500,361540,0,0,0,24154,46445,24154,885694,610945,385694,179.8337,0,0,1,1,6,4727,19118,0
