InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,23,352323,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,228481,445148,332318,245148,3072,3723,3072,5887,8437,5887,454107,344478,254107,12.331577,-1,0,0,1,2,138,5216,0
10.10.0.33:2915,51,348062,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,154517,452008,325661,252008,2559,3267,2559,62993,78903,62993,517560,407831,317560,11.593746,0,0,0,0,1,58,5172,0
10.10.0.29:2912,49,348922,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,270278,555314,445048,355314,2663,3362,2663,76,88,76,558053,448498,358053,784.55725,0,0,1,21,181,5564,7351,0
10.10.0.32:2915,12,353671,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,151893,291150,163097,91150,423,815,423,7574,24712,7574,299147,188624,99147,16.763403,0,0,0,1,1,553,2027,0
10.10.0.11:2912,34,347688,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,154230,390916,263945,190916,29,47,29,40238,57082,40238,431183,321074,231183,1.3116727,-1,0,0,0,1,28,515,0
10.10.0.29:2913,30,349922,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,150934,313144,185046,113144,51,78,51,26123,44460,26123,339318,229584,139318,14.309604,-1,0,0,0,1,56,6147,0
10.10.0.4:2912,18,351574,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,154740,377993,251210,177993,7,36,7,16649,33383,16649,394649,284629,194649,1.1142083,-1,0,0,0,1,22,530,0
10.10.0.11:2914,46,349837,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,148451,299848,171061,99848,913,1628,913,19421,37664,19421,320182,210353,120182,25.3031,-1,0,0,0,1,68,7320,0
10.10.0.26:2912,6,354171,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,153971,454011,716425,254011,30,134,30,30239,137802,30239,484280,854361,284280,16.220322,0,0,0,1,1,359,2095,0
10.10.0.32:2913,17,352672,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,157234,361675,236221,161675,5,35,5,26283,42319,26283,387963,278575,187963,1.7200323,0,0,0,1,1,33,578,0
10.10.0.18:2913,33,351324,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,235777,374037,261510,174037,94,105,94,4283,6388,4283,378414,268003,178414,23.505503,0,0,0,1,4,238,5137,0
10.10.0.3:2914,1,355072,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,155917,429391,891742,229391,2655,8712,2655,128823,269187,128823,560869,1169641,360869,453.70383,0,0,4,14,739,3680,6562,0
10.10.0.4:2914,48,351573,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,221932,484035,369958,284035,2119,2814,2119,6578,9842,6578,492732,382614,292732,8.333755,-1,0,0,0,1,136,1946,0
10.10.0.5:2913,39,350169,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,150461,339115,210780,139115,203,224,203,79970,98423,79970,419288,309427,219288,18.4324,0,0,0,0,1,141,6213,0
10.10.0.5:2914,36,348668,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,240678,411675,299739,211675,923,1299,923,2168,3787,2168,414766,304825,214766,33.35624,0,0,0,1,12,696,2422,0
10.10.0.26:2913,21,354821,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,265790,458316,348309,258316,0,0,0,1582,1837,1582,459898,350146,259898,292.7824,-1,0,1,17,44,4859,7448,0
10.10.0.26:2914,15,353173,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,150434,271570,143042,71570,2,26,2,17466,35841,17466,289038,178909,89038,41.05851,-1,0,0,1,2,1349,6191,0
10.10.0.15:2914,9,353146,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,205732,349978,792240,149978,823,3750,823,5135,51575,5135,355936,847565,155936,38.92224,0,0,0,1,6,1436,2112,0
10.10.0.3:2912,4,355822,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,152652,494360,559809,294360,41,121,41,44246,108384,44246,538647,668314,338647,42.824066,0,0,4,8,14,1256,2071,0
10.10.0.13:2914,47,351889,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,156061,334184,208194,134184,1664,2330,1664,30253,45769,30253,366101,256293,166101,26.26933,0,0,0,1,1,880,5203,0
10.10.0.9:2915,5,353675,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,168111,507168,995161,307168,45,217,45,16786,137878,16786,523999,1133256,323999,15.877087,0,0,0,1,3,209,2052,0
10.10.0.15:2913,0,353175,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,154949,586527,754401,386527,2964,6266,2964,60054,139475,60054,649545,900142,449545,22.84303,-1,0,0,1,1,92,5687,0
10.10.0.12:2915,25,349173,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,153956,401139,274093,201139,1277,1971,1277,24131,40416,24131,426547,316480,226547,11.494142,-1,0,0,0,1,62,2136,0
10.10.0.5:2915,31,350168,10,200000,65536,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,230708,281869,169927,81869,46,63,46,1531,4023,1531,283446,174013,83446,4.9082193,0,0,0,1,1,74,1375,0
