InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2913,24,275984,16,500000,2048,0,3000,Random,OK,253363,981190,978894,481190,130,210,130,85,183,85,981405,979287,481405,4.3266406,0,0,0,0,1,39,445,0
10.10.0.11:2916,99,270937,16,500000,2048,0,3000,Random,OK,252641,1191122,1187877,691122,0,0,0,2318,3622,2318,1193440,1191499,693440,2.070182,0,0,0,0,1,38,460,0
10.10.0.3:2914,91,273621,16,500000,2048,0,3000,Random,OK,252645,972934,971567,472934,1494,3440,1494,33,46,33,974461,975053,474461,4.2679257,0,0,0,0,1,39,474,0
10.10.0.8:2915,54,273861,16,500000,2048,0,3000,Random,OK,252915,1004303,1001489,504303,1924,3788,1924,0,0,0,1006227,1005277,506227,3.9923732,0,0,0,0,1,40,442,0
10.10.0.9:2916,22,276457,16,500000,2048,0,3000,Random,OK,252846,1004610,1003795,504610,0,0,0,737,1618,737,1005347,1005413,505347,3.893928,0,0,0,0,1,39,409,0
10.10.0.8:2913,47,274516,16,500000,2048,0,3000,Random,OK,252762,1069731,1069487,569731,45,69,45,815,1552,815,1070591,1071108,570591,2.7076018,0,0,0,0,1,39,424,0
10.10.0.6:2912,102,271123,16,500000,2048,0,3000,Random,OK,252729,1146476,1145371,646476,269,538,269,761,1147,761,1147506,1147056,647506,3.7177234,0,0,0,0,1,40,472,0
10.10.0.6:2914,98,271136,16,500000,2048,0,3000,Random,OK,252756,1197598,1196509,697598,1598,2827,1598,124,177,124,1199320,1199513,699320,2.7390375,0,0,0,0,1,39,425,0
10.10.0.3:2915,88,273539,16,500000,2048,0,3000,Random,OK,252646,1000156,999091,500156,1599,3536,1599,52,63,52,1001807,1002690,501807,2.925669,0,0,0,0,1,39,461,0
10.10.0.23:2912,17,276113,16,500000,2048,0,3000,Random,OK,252871,1074451,1072828,574451,32,56,32,602,1195,602,1075085,1074079,575085,3.6290226,0,0,0,0,1,39,444,0
10.10.0.17:2912,36,275096,16,500000,2048,0,3000,Random,OK,253127,1186911,1186339,686911,204,280,204,93,292,93,1187208,1186911,687208,4.747693,0,0,0,0,1,39,449,0
10.10.0.4:2917,42,273790,16,500000,2048,0,3000,Random,OK,252780,1132126,1131114,632126,507,835,507,202,510,202,1132835,1132459,632835,1.9642866,0,0,0,0,1,38,458,0
10.10.0.6:2916,93,271229,16,500000,2048,0,3000,Random,OK,252833,969341,968103,469341,222,535,222,305,566,305,969868,969204,469868,2.0910304,0,0,0,0,1,38,446,0
10.10.0.22:2917,0,275715,16,500000,2048,0,3000,Random,OK,252795,1191660,1190933,691660,334,659,334,251,540,251,1192245,1192132,692245,1.4961841,0,0,0,0,1,34,457,0
10.10.0.14:2917,56,273797,16,500000,2048,0,3000,Random,OK,252623,986718,984604,486718,1878,3810,1878,31,41,31,988627,988455,488627,1.545263,0,0,0,0,1,34,461,0
10.10.0.15:2917,73,273224,16,500000,2048,0,3000,Random,OK,252703,1126370,1124700,626370,54,78,54,1044,1916,1044,1127468,1126694,627468,1.7000738,0,0,0,0,1,36,455,0
10.10.0.14:2914,61,274504,16,500000,2048,0,3000,Random,OK,252718,937419,937140,437419,506,1113,506,217,389,217,938142,938642,438142,3.6497588,0,0,0,0,1,39,468,0
10.10.0.5:2916,35,273895,16,500000,2048,0,3000,Random,OK,253032,1187333,1186701,687333,0,0,0,581,1145,581,1187914,1187846,687914,1.3606352,0,0,0,0,1,32,453,0
10.10.0.5:2912,45,273756,16,500000,2048,0,3000,Random,OK,252891,1095306,1095118,595306,1081,1992,1081,19,98,19,1096406,1097208,596406,3.4467165,0,0,0,0,1,39,480,0
10.10.0.22:2914,7,275772,16,500000,2048,0,3000,Random,OK,252794,1186397,1184484,686397,0,0,0,1067,2056,1067,1187464,1186540,687464,4.1965413,0,0,0,0,1,40,410,0
10.10.0.8:2914,48,273654,16,500000,2048,0,3000,Random,OK,252779,1077659,1077122,577659,97,165,97,504,1047,504,1078260,1078334,578260,3.105984,0,0,0,0,1,39,450,0
10.10.0.3:2913,63,273643,16,500000,2048,0,3000,Random,OK,252656,920481,919198,420481,524,1128,524,202,399,202,921207,920725,421207,2.7786016,0,0,0,0,1,39,404,0
10.10.0.6:2917,97,270572,16,500000,2048,0,3000,Random,OK,252944,1194375,1193289,694375,8,26,8,768,1219,768,1195151,1194534,695151,2.2912064,0,0,0,0,1,39,451,0
10.10.0.6:2913,101,271178,16,500000,2048,0,3000,Random,OK,252868,1165270,1165510,665270,265,540,265,669,909,669,1166204,1166959,666204,4.9458437,0,0,0,0,1,40,623,0
10.10.0.18:2916,1,276139,16,500000,2048,0,3000,Random,OK,252680,1204281,1202776,704281,532,858,532,335,721,335,1205148,1204355,705148,1.560324,0,0,0,0,1,35,413,0
10.10.0.7:2912,16,276107,16,500000,2048,0,3000,Random,OK,252737,1079776,1080061,579776,47,68,47,660,1393,660,1080483,1081522,580483,2.4510968,0,0,0,0,1,38,448,0
