InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2913,12,782128,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,430693,428043,235365,128043,0,0,0,27207,55435,27207,455250,290800,155250,18.743126,-29,-3,1,2,6,52,17851,0
10.10.0.18:2913,10,781377,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,536680,446183,767965,146183,87,885,87,6162,57651,6162,452432,826501,152432,200.28786,-38,-9,2,7,14,8667,18555,0
10.10.0.4:2914,26,773604,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,714656,501491,337578,201491,317,476,317,1,4,1,501809,338058,201809,1498.0466,-30,-4,1,5,102,21513,30535,0
10.10.0.5:2912,25,780347,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,410208,435721,239639,135721,163,358,163,49601,81508,49601,485485,321505,185485,8.047701,-30,-9,1,2,4,40,18101,0
10.10.0.10:2912,22,781106,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,437219,419524,230303,119524,286,480,286,34004,59419,34004,453814,290202,153814,3.7650912,-29,-5,1,1,3,43,5119,0
10.10.0.4:2912,17,777853,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,500981,488412,309723,188412,260,351,260,9104,24367,9104,497776,334441,197776,9.915958,-30,-12,1,2,6,68,8566,0
10.10.0.29:2913,13,784542,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,427374,454790,262913,154790,0,0,0,28585,57259,28585,483375,320172,183375,11.418688,-33,0,6,9,13,59,2849,0
10.10.0.11:2914,31,778442,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,670955,541758,376135,241758,317,509,317,2603,3359,2603,544678,380003,244678,248.92535,-43,-22,0,1,6,10544,20948,0
10.10.0.15:2914,29,782009,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,641581,488521,323218,188521,380,529,380,4632,6510,4632,493533,330257,193533,19.135277,-30,-15,1,2,9,273,10459,0
10.10.0.3:2912,40,778039,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,431204,480661,289722,180661,343,538,343,52408,79741,52408,533412,370001,233412,12.437302,-30,-11,0,1,2,39,21509,0
10.10.0.28:2913,27,778317,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,450039,423937,237879,123937,220,365,220,29523,52750,29523,453680,290994,153680,10.020963,0,0,1,4,12,56,10808,0
10.10.0.28:2912,38,780224,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,417611,493608,298514,193608,195,395,195,68555,98834,68555,562358,397743,262358,21.30213,0,0,1,3,10,47,13319,0
10.10.0.26:2914,9,783122,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,427834,416989,767474,116989,141,1135,141,25801,193023,25801,442931,961632,142931,18.579622,-24,-4,1,3,6,93,23796,0
10.10.0.18:2914,14,781374,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,473575,412369,229166,112369,145,221,145,21909,41017,21909,434423,270404,134423,20.280054,-37,-8,1,5,9,97,18503,0
10.10.0.13:2913,6,781505,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,440404,527080,776291,227080,337,1316,337,48669,174072,48669,576086,951679,276086,19.328463,-36,-10,0,1,3,67,7594,0
10.10.0.26:2912,0,781113,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,564492,641688,858281,341688,360,1125,360,13393,42428,13393,655441,901834,355441,230.26074,-25,-7,1,3,7,5205,6595,0
10.10.0.10:2913,15,782010,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,452648,446696,261335,146696,221,305,221,18844,41664,18844,465761,303304,165761,7.3406353,-30,-12,1,2,5,30,7055,0
10.10.0.33:2912,33,778995,16,300000,262144,0,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,407592,459405,263715,159405,336,530,336,73435,106406,73435,533176,370651,233176,12.746335,-22,-6,1,2,5,63,21742,0
