InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.33:2912,28,925933,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,437881,442874,227799,142874,7,23,7,50254,102691,50254,493135,330513,193135,104.03154,0,0,1,1,4,4886,19018,0
10.10.0.18:2914,9,930198,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,517849,456703,727001,156703,470,2366,470,53480,281971,53480,510653,1011338,210653,195.36418,0,0,1,3,12,5725,8927,0
10.10.0.15:2913,37,925680,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,583087,562108,373939,262108,491,832,491,59997,87841,59997,622596,462612,322596,40.50803,0,0,1,1,2,533,20303,0
10.10.0.11:2913,16,933101,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,722589,565668,396198,265668,362,697,362,14277,22356,14277,580307,419251,280307,51.838215,0,0,1,2,9,660,26559,0
10.10.0.9:2912,3,931170,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,720684,749962,1487256,449962,38,105,38,16717,86671,16717,766717,1574032,466717,524.21906,0,0,1,3,102,4730,16288,0
10.10.0.33:2914,41,924434,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,436990,514691,300961,214691,0,0,0,174304,227658,174304,688995,528619,388995,54.551323,0,0,1,1,2,210,16723,0
10.10.0.10:2912,12,932852,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,420988,384423,164991,84423,216,539,216,57987,113067,57987,442626,278597,142626,192.35086,0,0,1,2,6,5489,26013,0
10.10.0.9:2913,14,932699,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,475748,416617,208778,116617,337,674,337,41213,86435,41213,458167,295887,158167,135.56662,0,0,1,2,4,5479,24890,0
10.10.0.33:2913,36,925683,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,706645,649675,476433,349675,645,982,645,25889,36288,25889,676209,513703,376209,89.977356,0,0,1,2,9,1460,20885,0
10.10.0.12:2913,44,918202,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,472397,590150,383904,290150,909,1249,909,98152,144444,98152,689211,529597,389211,27.377909,0,0,1,1,2,258,17578,0
10.10.0.13:2912,31,923384,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,863626,569325,404944,269325,218,321,218,0,19,0,569543,405284,269543,1862.6046,0,0,1,11,103,17293,33369,0
10.10.0.28:2912,25,926447,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,568019,538523,347544,238523,553,878,553,56887,87135,56887,595963,435557,295963,70.70096,0,0,1,1,2,420,26148,0
10.10.0.32:2914,7,933617,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,455210,412007,821122,112007,1039,3864,1039,146128,583412,146128,559174,1408398,259174,3933.7354,0,0,12,4843,5248,20934,24476,0
10.10.0.13:2913,27,923383,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,592537,539255,352260,239255,8,14,8,43313,70185,43313,582576,422459,282576,23.217995,0,0,1,1,2,299,10760,0
10.10.0.4:2913,20,926881,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,586495,517276,329156,217276,92,203,92,44718,72237,44718,562086,401596,262086,25.088943,0,0,1,1,3,365,15557,0
10.10.0.29:2912,40,922442,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,759441,680956,516185,380956,0,0,0,7768,12489,7768,688724,528674,388724,83.84507,0,0,1,2,11,1597,16492,0
10.10.0.11:2912,11,931801,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,805405,455457,288058,155457,240,548,240,1142,2932,1142,456839,291538,156839,1466.0059,0,0,1,2,29,19288,26603,0
10.10.0.29:2913,39,923191,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,730785,637383,465189,337383,419,764,419,17847,25228,17847,655649,491181,355649,1452.9574,0,0,1,8,60,13466,20465,0
10.10.0.4:2912,17,928281,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,620631,589167,403145,289167,12,21,12,42625,65483,42625,631804,468649,331804,73.64876,0,0,1,2,8,1912,16841,0
10.10.0.11:2914,1,932201,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,688379,705267,1279168,405267,185,992,185,32120,122002,32120,737572,1402162,437572,456.1096,0,0,1,3,59,5185,21885,0
10.10.0.32:2913,5,932690,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,432339,469724,736489,169724,1661,3833,1661,204166,579936,204166,675551,1320258,375551,2659.9502,0,0,12,1728,5095,9669,26239,0
10.10.0.26:2912,35,922590,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,485909,514594,310774,214594,786,1087,786,91296,135013,91296,606676,446874,306676,75.251495,0,0,1,1,2,1045,21332,0
10.10.0.18:2913,22,931597,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,756209,575606,407074,275606,600,915,600,12081,16865,12081,588287,424854,288287,1026.9744,0,0,1,4,40,15022,20303,0
10.10.0.3:2914,2,931938,10,300000,262144,0,4500,"[3,9,12,19,21,27,31,39,46,51,55]",OK,779122,784123,1027975,484123,35,66,35,7932,21028,7932,792090,1049069,492090,859.19684,0,0,1,5,142,6443,17767,0
