InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.8:2914,162,384410,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248496,818332,517692,318332,979,1506,979,317,719,317,819628,519917,319628,0.7227096,0,0,0,0,1,2,5214,0
10.10.0.14:2924,63,392536,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248514,1050348,749100,550348,1306,1680,1306,1951,2612,1951,1053605,753392,553605,2.2492886,0,0,0,0,1,8,3459,0
10.10.0.10:2920,263,383620,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,261823,1814057,1512788,1314057,2613,3038,2613,29,195,29,1816699,1516021,1316699,44.748615,0,0,0,0,1,1127,3433,0
10.10.0.9:2921,56,395350,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248484,730047,428508,230047,566,1280,566,137,448,137,730750,430236,230750,1.2426598,0,0,0,0,1,4,6192,0
10.10.0.6:2917,120,389374,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248498,724845,423350,224845,368,721,368,680,1332,680,725893,425403,225893,1.3449576,0,0,0,0,1,9,5882,0
10.10.0.9:2919,53,393177,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248506,725205,423787,225205,811,1584,811,62,316,62,726078,425687,226078,1.0946987,0,0,0,0,1,7,5972,0
10.10.0.3:2921,350,362618,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248507,1733290,1432459,1233290,1707,2094,1707,3054,3679,3054,1738051,1438232,1238051,0.64413184,0,0,0,0,1,3,2056,0
10.10.0.6:2913,130,390975,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248489,895558,594691,395558,1845,2564,1845,188,506,188,897591,597761,397591,0.8495536,0,0,0,0,1,2,4641,0
10.10.0.8:2928,173,384964,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248493,827003,526008,327003,515,1068,515,315,688,315,827833,527764,327833,1.4355356,0,0,0,0,1,9,6163,0
10.10.0.10:2918,242,384286,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248495,1195970,895076,695970,1965,2553,1965,990,1385,990,1198925,899014,698925,0.69087577,0,0,0,0,1,2,6272,0
10.10.0.9:2915,45,393806,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248482,796775,495543,296775,827,1544,827,236,559,236,797838,497646,297838,1.0102041,0,0,0,0,1,7,6193,0
10.10.0.7:2912,266,382339,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248489,1606026,1304793,1106026,3214,3788,3214,3003,3418,3003,1612243,1311999,1112243,2.4238136,0,0,0,0,1,4,6072,0
10.10.0.22:2925,159,383940,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248466,1693494,1392419,1193494,1978,2380,1978,1921,2539,1921,1697393,1397338,1197393,0.65339524,0,0,0,0,1,3,6048,0
10.10.0.8:2912,157,383276,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248491,1445094,1144130,945094,1602,1973,1602,2044,2717,2044,1448740,1148820,948740,1.1927091,0,0,0,0,1,3,5791,0
10.10.0.28:2919,185,384566,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248515,750131,446688,250131,0,0,0,4143,7349,4143,754274,454037,254274,0.87371075,0,0,0,0,1,3,5523,0
10.10.0.18:2927,79,392434,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248488,891016,590164,391016,737,1114,737,707,1342,707,892460,592620,392460,0.9529716,0,0,0,0,1,3,5645,0
10.10.0.17:2921,101,392916,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248498,810856,509639,310856,609,970,609,3355,4021,3355,814820,514630,314820,12.431073,0,0,0,0,1,18,6481,0
10.10.0.17:2924,109,394064,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248498,784069,482279,284069,465,1062,465,322,721,322,784856,484062,284856,1.1592151,0,0,0,0,1,3,6301,0
10.10.0.4:2915,14,393377,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248555,862589,561874,362589,784,1143,784,905,1441,905,864278,564458,364278,1.6257206,0,0,0,0,1,11,6003,0
10.10.0.15:2925,198,384352,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248489,951914,650597,451914,837,1197,837,747,1381,747,953498,653175,453498,0.5788372,0,0,0,0,1,2,1830,0
10.10.0.15:2920,209,383894,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248504,969715,668104,469715,1366,2191,1366,3103,3401,3103,974184,673696,474184,7.4250402,0,0,0,0,1,13,6389,0
10.10.0.5:2919,237,383835,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248526,806434,504671,306434,785,1209,785,972,1547,972,808191,507427,308191,1.9514177,0,0,0,0,1,2,4650,0
10.10.0.6:2931,129,389347,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248496,861441,560357,361441,2090,2775,2090,193,491,193,863724,563623,363724,0.9167901,0,0,0,0,1,2,4686,0
10.10.0.4:2925,19,393340,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248523,846954,546056,346954,288,691,288,954,1603,954,848196,548350,348196,1.3235835,0,0,0,0,1,9,5712,0
10.10.0.5:2913,213,382701,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248488,986389,685994,486389,1366,1947,1366,502,907,502,988257,688848,488257,1.3193055,0,0,0,0,1,6,5762,0
10.10.0.9:2918,59,393173,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248498,719630,418776,219630,840,1449,840,1774,2167,1774,722244,422392,222244,12.920245,0,0,0,0,1,20,7415,0
10.10.0.3:2927,355,363738,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248480,2393030,2091476,1893030,8017,8697,8017,473,800,473,2401520,2100973,1901520,0.94742674,0,0,0,1,1,6,1926,0
10.10.0.28:2926,186,382863,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248471,746326,445520,246326,368,775,368,407,1014,407,747101,447309,247101,1.3314823,0,0,0,0,1,3,6327,0
10.10.0.16:2918,292,382618,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248494,1140061,839145,640061,2632,3219,2632,2281,2676,2281,1144974,845040,644974,1.3418146,0,0,0,0,1,3,4655,0
10.10.0.16:2914,275,382016,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248482,972656,672291,472656,847,1594,847,1398,1705,1398,974901,675590,474901,2.0281458,0,0,0,0,1,2,4895,0
10.10.0.20:2929,332,371403,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248481,1393518,1092626,893518,2780,3538,2780,1163,1474,1163,1397461,1097638,897461,1.1066818,0,0,0,0,1,3,2112,0
10.10.0.28:2914,192,382860,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248497,1631688,1330601,1131688,4251,4832,4251,457,833,457,1636396,1336266,1136396,0.56445724,0,0,0,0,1,3,1592,0
10.10.0.20:2916,337,372479,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248471,1510131,1207239,1010131,199,245,199,16398,19106,16398,1526728,1226590,1026728,2.6446285,0,0,0,0,1,3,4986,0
10.10.0.5:2921,224,383830,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248491,1367426,1066360,867426,1721,2102,1721,3539,4180,3539,1372686,1072642,872686,2.046861,0,0,0,0,1,3,4978,0
10.10.0.22:2923,166,385117,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248480,829153,527900,329153,1603,2306,1603,111,426,111,830867,530632,330867,1.4491135,0,0,0,0,1,3,3290,0
10.10.0.9:2929,62,393768,32,500000,8,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,248512,1438806,1137582,938806,2243,2647,2243,1786,2429,1786,1442835,1142658,942835,1.0254205,0,0,0,0,1,8,6173,0
