InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,39,285238,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,195322,533240,366029,233240,37,85,37,4237,6635,4237,537514,372749,237514,0.40221167,0,0,0,0,1,3,284,0
10.10.0.29:2912,58,281954,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,196941,557203,390986,257203,3620,4748,3620,106,424,106,560929,396158,260929,0.47367465,0,0,0,0,1,5,303,0
10.10.0.33:2915,16,288471,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,196021,549663,383331,249663,1504,2542,1504,1080,1563,1080,552247,387436,252247,0.617622,0,0,0,0,1,3,413,0
10.10.0.32:2915,24,289455,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,194970,532686,366360,232686,348,981,348,2285,3276,2285,535319,370617,235319,0.5471848,0,0,0,0,1,6,407,0
10.10.0.11:2912,32,289094,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,198424,508957,341954,208957,1131,2280,1131,58,247,58,510146,344481,210146,0.3933889,0,0,0,0,1,2,372,0
10.10.0.29:2913,30,280955,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,192925,410861,243785,110861,3100,4136,3100,1069,2397,1069,415030,250318,115030,0.45513308,0,0,0,0,1,2,413,0
10.10.0.11:2914,44,292193,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,200030,418357,253236,118357,3289,4352,3289,61,132,61,421707,257720,121707,0.4581794,0,0,0,0,1,3,323,0
10.10.0.4:2912,28,285207,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,197401,455009,288903,155009,1300,1949,1300,347,777,347,456656,291629,156656,0.43426067,0,0,0,0,1,2,348,0
10.10.0.26:2912,57,279225,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,193631,526550,358812,226550,136,191,136,6525,10030,6525,533211,369033,233211,0.48026058,0,0,0,0,1,5,401,0
10.10.0.32:2913,19,289473,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,197596,537427,371473,237427,1993,3103,1993,121,369,121,539541,374945,239541,0.37438825,0,0,0,0,1,2,402,0
10.10.0.4:2914,49,293628,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,194273,513486,346272,213486,1994,3091,1994,877,1644,877,516357,351007,216357,0.37197548,0,0,0,0,1,3,277,0
10.10.0.18:2913,13,298368,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,194275,432186,265489,132186,1196,2283,1196,1020,1876,1020,434402,269648,134402,0.6800236,0,0,0,0,1,8,330,0
10.10.0.3:2914,29,282749,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,194328,448852,282331,148852,1722,2805,1722,661,1549,661,451235,286685,151235,0.43921378,0,0,0,0,1,2,331,0
10.10.0.5:2913,3,290747,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,200602,503539,1051475,203539,2649,9487,2649,292,663,292,506480,1061625,206480,0.81386745,0,0,0,0,1,7,356,0
10.10.0.26:2913,42,286221,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,193719,474837,307541,174837,2591,3208,2591,1685,3268,1685,479113,314017,179113,0.3567036,0,0,0,0,1,2,350,0
10.10.0.5:2914,1,291480,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,205178,529689,1625289,229689,0,0,0,210,1061,210,529899,1626350,229899,1.0355526,0,0,0,0,1,6,361,0
10.10.0.26:2914,56,280739,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,193494,528732,361413,228732,3652,4744,3652,1745,2932,1745,534129,369089,234129,0.37292632,0,0,0,0,1,2,402,0
10.10.0.15:2914,18,291473,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,198102,506560,340011,206560,0,0,0,1335,2746,1335,507895,342757,207895,0.5128969,0,0,0,0,1,5,354,0
10.10.0.3:2912,47,282731,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,194496,460308,293020,160308,710,1692,710,542,1299,542,461560,296011,161560,0.3751955,0,0,0,0,1,2,317,0
10.10.0.13:2914,55,283474,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,197808,564625,399046,264625,783,1665,783,289,575,289,565697,401286,265697,0.34919733,0,0,0,0,1,2,411,0
10.10.0.9:2915,11,288709,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,193864,453415,286312,153415,1161,2215,1161,1038,1913,1038,455614,290440,155614,0.51993185,0,0,0,0,1,3,292,0
10.10.0.5:2915,0,299135,8,300000,32768,4,3000,"[2,9,19,23,34,40,55]",OK,204663,561888,755005,261888,1895,4210,1895,0,0,0,563783,759215,263783,0.86817306,0,0,0,0,1,7,409,0
