InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.11:2916,41,276388,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252644,876065,575096,376065,1107,1628,1107,61,125,61,877233,576849,377233,3.613783,0,0,0,0,1,39,491,0
10.10.0.9:2913,93,274005,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252943,942374,641915,442374,88,213,88,706,916,706,943168,643044,443168,3.1759849,0,0,0,0,1,39,1814,0
10.10.0.3:2914,76,275460,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252685,1222060,921303,722060,185,216,185,2769,3586,2769,1225014,925105,725014,0.9111452,0,0,0,0,0,28,1690,0
10.10.0.9:2916,92,273825,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252995,896557,595963,396557,156,284,156,316,545,316,897029,596792,397029,2.9287255,0,0,0,0,1,39,804,0
10.10.0.8:2915,25,276862,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252938,749491,449042,249491,609,1105,609,15,42,15,750115,450189,250115,4.369098,0,0,0,0,1,40,1733,0
10.10.0.8:2913,19,278419,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,253090,822484,521632,322484,333,482,333,171,299,171,822988,522413,322988,1.090907,0,0,0,0,1,29,1822,0
10.10.0.6:2912,10,276814,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252798,843535,543392,343535,231,400,231,499,729,499,844265,544521,344265,5.4010277,0,0,0,0,1,40,1826,0
10.10.0.3:2915,78,275903,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252607,1080745,780309,580745,1450,1950,1450,70,134,70,1082265,782393,582265,4.116931,0,0,0,0,1,39,899,0
10.10.0.6:2914,13,278536,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252848,813870,513074,313870,901,1438,901,59,108,59,814830,514620,314830,5.5354652,0,0,0,0,1,40,1932,0
10.10.0.23:2912,11,278638,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252736,784404,483965,284404,321,476,321,302,580,302,785027,485021,285027,5.4046054,0,0,0,0,1,40,790,0
10.10.0.17:2912,42,276585,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252887,909099,608681,409099,817,1324,817,12,48,12,909928,610053,409928,3.0666385,0,0,0,0,1,39,1703,0
10.10.0.4:2917,81,275184,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252852,1039959,739214,539959,60,103,60,2058,2754,2058,1042077,742071,542077,2.1503427,0,0,0,0,1,39,1615,0
10.10.0.6:2916,0,276490,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252742,1853312,3708146,1353312,3258,9297,3258,142,688,142,1856712,3718131,1356712,2.3287482,0,0,0,0,1,39,1858,0
10.10.0.22:2917,107,273927,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252919,1786166,1485620,1286166,22,42,22,5645,6483,5645,1791833,1492145,1291833,3.3280184,0,0,0,0,1,39,1843,0
10.10.0.14:2917,74,273979,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252679,1018491,718422,518491,365,512,365,727,1042,727,1019583,719976,519583,1.9009829,0,0,0,0,1,39,1733,0
10.10.0.15:2917,85,275566,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252638,1203077,902734,703077,970,1139,970,819,1106,819,1204866,904979,704866,0.75864524,0,0,0,0,0,25,534,0
10.10.0.5:2916,16,278577,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,253186,794301,493240,294301,0,0,0,1353,2048,1353,795654,495288,295654,3.8410945,0,0,0,0,1,40,1822,0
10.10.0.14:2914,59,274069,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252728,726999,427227,226999,742,1233,742,14,58,14,727755,428518,227755,1.9198424,0,0,0,0,1,38,516,0
10.10.0.5:2912,18,276698,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252747,808532,507743,308532,342,519,342,308,547,308,809182,508809,309182,7.172035,0,0,0,0,10,40,396,0
10.10.0.22:2914,94,275044,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252731,1086445,786805,586445,1604,2111,1604,56,104,56,1088105,789020,588105,2.5998442,0,0,0,0,1,39,367,0
10.10.0.3:2913,60,276360,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252685,737038,435892,237038,64,195,64,491,892,491,737593,436979,237593,1.2853638,0,0,0,0,1,30,1076,0
10.10.0.8:2914,29,276593,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,253960,1186486,886042,686486,671,959,671,1,5,1,1187158,887006,687158,5.428792,0,0,0,0,1,40,1752,0
10.10.0.6:2917,6,278843,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252927,1114605,6198015,614605,426,8443,426,486,3639,486,1115517,6210097,615517,4.2398057,0,0,0,0,1,39,1997,0
10.10.0.18:2916,97,276268,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252629,1315043,1013682,815043,2445,2965,2445,331,389,331,1317819,1017036,817819,3.1142418,0,0,0,0,1,39,1800,0
10.10.0.6:2913,7,276785,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252966,973437,3899148,473437,0,0,0,1608,16788,1608,975045,3915936,475045,5.118441,0,0,0,0,1,40,1978,0
10.10.0.7:2912,58,275966,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252663,726610,426743,226610,607,1100,607,57,112,57,727274,427955,227274,5.409597,0,0,0,0,1,40,1108,0
10.10.0.9:2915,67,273826,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252887,1235515,935957,735515,670,833,670,602,797,602,1236787,937587,736787,0.83828276,0,0,0,0,0,28,539,0
10.10.0.22:2915,101,275826,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252719,1436463,1135928,936463,2201,2726,2201,142,182,142,1438806,1138836,938806,1.1825233,0,0,0,0,1,29,1081,0
10.10.0.23:2915,8,276682,16,500000,2048,0,3000,"[4,9,19,24,31,39,49,55,60]",OK,252882,851868,3244480,351868,1276,8563,1276,90,833,90,853234,3253876,353234,5.404624,0,0,0,0,1,40,1975,0
