InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2913,59,274376,16,500000,2048,0,5000,"[5,45,57]",OK,253415,774462,489187,274462,493,813,493,13,15,13,774968,490015,274968,1.2467291,0,0,0,0,1,31,396,0
10.10.0.11:2916,42,275487,16,500000,2048,0,5000,"[5,45,57]",OK,252736,842444,556713,342444,679,1059,679,268,421,268,843391,558193,343391,3.5456913,0,0,0,0,1,39,433,0
10.10.0.3:2914,94,271612,16,500000,2048,0,5000,"[5,45,57]",OK,252945,886129,600854,386129,536,774,536,338,514,338,887003,602142,387003,2.3184814,0,0,0,0,1,39,439,0
10.10.0.9:2916,68,274406,16,500000,2048,0,5000,"[5,45,57]",OK,252951,863153,577763,363153,868,1222,868,47,114,47,864068,579099,364068,1.9817424,0,0,0,0,1,38,467,0
10.10.0.8:2915,29,276115,16,500000,2048,0,5000,"[5,45,57]",OK,253088,1274914,990118,774914,1208,1450,1208,356,465,356,1276478,992033,776478,4.725514,0,0,0,0,1,40,408,0
10.10.0.8:2913,41,276158,16,500000,2048,0,5000,"[5,45,57]",OK,253357,967051,682313,467051,812,1301,812,1,1,1,967864,683615,467864,0.7919341,0,0,0,0,0,28,421,0
10.10.0.6:2912,81,273629,16,500000,2048,0,5000,"[5,45,57]",OK,253253,889512,605139,389512,560,917,560,14,24,14,890086,606080,390086,1.4571377,0,0,0,0,1,35,395,0
10.10.0.6:2914,69,273860,16,500000,2048,0,5000,"[5,45,57]",OK,253495,873335,588766,373335,514,734,514,23,30,23,873872,589530,373872,1.5689956,0,0,0,0,1,35,439,0
10.10.0.3:2915,103,271432,16,500000,2048,0,5000,"[5,45,57]",OK,252624,1830490,1545552,1330490,2577,2969,2577,1142,1357,1142,1834209,1549878,1334209,2.9796216,0,0,0,0,1,39,441,0
10.10.0.23:2912,8,276402,16,500000,2048,0,5000,"[5,45,57]",OK,253181,816776,532027,316776,32,59,32,797,1280,797,817605,533366,317605,4.9269056,0,0,0,0,1,39,436,0
