InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2927,213,781569,20,500000,8,4,3000,"[37,40,45,55]",OK,298601,739304,410203,239304,2300,2733,2300,70377,125546,70377,811981,538482,311981,3946.1143,0,0,0,0,1,156547,461007,0
10.10.0.7:2912,250,780764,20,500000,8,4,3000,"[37,40,45,55]",OK,366385,735252,434557,235252,363,499,363,23819,51785,23819,759434,486841,259434,3404.6877,0,0,0,0,0,147191,446025,0
10.10.0.22:2925,36,794353,20,500000,8,4,3000,"[37,40,45,55]",OK,375614,898806,590910,398806,399,550,399,44928,79065,44928,944133,670525,444133,7424.051,0,0,0,0,0,225535,454911,0
10.10.0.8:2912,71,794585,20,500000,8,4,3000,"[37,40,45,55]",OK,355576,882471,574556,382471,288,402,288,47762,80766,47762,930521,655724,430521,4775.8237,0,0,0,0,0,176129,452451,0
10.10.0.18:2927,111,795378,20,500000,8,4,3000,"[37,40,45,55]",OK,356433,804827,488537,304827,0,0,0,80468,122411,80468,885295,610948,385295,9242.623,0,0,0,0,1,246437,456959,0
10.10.0.10:2913,6,794524,20,500000,8,4,3000,"[37,40,45,55]",OK,409696,856674,550638,356674,0,0,0,83896,115600,83896,940570,666238,440570,9360.086,0,0,0,0,1,203839,458553,0
10.10.0.28:2919,340,779656,20,500000,8,4,3000,"[37,40,45,55]",OK,393999,809373,518779,309373,819,1294,819,18885,35891,18885,829077,555964,329077,1370.7861,0,0,0,0,0,59223,296048,0
10.10.0.17:2921,214,781578,20,500000,8,4,3000,"[37,40,45,55]",OK,362816,785298,485406,285298,0,0,0,30241,56549,30241,815539,541955,315539,2301.5444,0,0,0,0,1,92560,455133,0
10.10.0.17:2924,206,782324,20,500000,8,4,3000,"[37,40,45,55]",OK,315356,786060,461838,286060,1623,2329,1623,87145,137208,87145,874828,601375,374828,7802.416,0,0,0,0,1,280311,455185,0
10.10.0.23:2913,106,794612,20,500000,8,4,3000,"[37,40,45,55]",OK,375429,873173,572557,373173,189,349,189,37732,65188,37732,911094,638094,411094,2894.1948,0,0,0,0,0,129313,449764,0
10.10.0.7:2915,252,780744,20,500000,8,4,3000,"[37,40,45,55]",OK,383405,733094,434119,233094,851,986,851,22735,47878,22735,756680,482983,256680,3409.5073,0,0,0,0,1,122983,443450,0
10.10.0.15:2925,307,779909,20,500000,8,4,3000,"[37,40,45,55]",OK,353681,808969,507848,308969,1452,2178,1452,27402,54263,27402,837823,564289,337823,928.9304,0,0,0,0,0,1,458684,0
10.10.0.15:2920,286,779920,20,500000,8,4,3000,"[37,40,45,55]",OK,324301,699229,388365,199229,528,968,528,29949,67460,29949,729706,456793,229706,623.25037,0,0,0,0,0,1,353234,0
