InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2913,99,324973,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,282791,664535,408831,164535,16,48,16,79,1467,79,664630,410346,164630,2.3225229,0,0,0,0,1,39,410,0
10.10.0.11:2916,9,328427,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,257916,676935,412127,176935,461,1099,461,10383,19471,10383,687779,432697,187779,0.6057449,0,0,0,0,0,23,409,0
10.10.0.3:2914,65,325830,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266607,674410,415080,174410,18,35,18,1751,6218,1751,676179,421333,176179,1.3615975,0,0,0,0,0,35,276,0
10.10.0.8:2915,25,328324,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259438,681638,418688,181638,404,859,404,6475,14683,6475,688517,434230,188517,1.7252194,0,0,0,0,0,38,392,0
10.10.0.9:2916,101,324519,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,290995,658172,403036,158172,33,72,33,19,711,19,658224,403819,158224,2.9863305,0,0,0,0,1,39,184,0
10.10.0.8:2913,19,327462,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,268759,672914,413884,172914,479,1209,479,3430,6798,3430,676823,421891,176823,2.0662067,0,0,0,0,0,38,402,0
10.10.0.6:2912,44,325670,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259112,678650,415086,178650,0,0,0,6042,15300,6042,684692,430386,184692,1.6865814,0,0,0,0,0,38,358,0
10.10.0.6:2914,54,325993,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259461,679624,416232,179624,124,386,124,4881,13406,4881,684629,430024,184629,1.1897777,0,0,0,0,0,33,251,0
10.10.0.3:2915,56,326063,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,264007,672962,412633,172962,0,0,0,3017,9240,3017,675979,421873,175979,2.258362,0,0,0,0,0,39,339,0
10.10.0.23:2912,105,325432,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,302109,653591,399083,153591,64,153,64,0,56,0,653655,399292,153655,3.3634384,0,0,0,0,1,39,139,0
10.10.0.17:2912,82,325804,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,267957,676788,417573,176788,380,1036,380,1332,4911,1332,678500,423520,178500,1.823699,0,0,0,0,0,38,206,0
10.10.0.4:2917,34,325231,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259525,682578,418520,182578,308,1028,308,5940,13817,5940,688826,433365,188826,1.9519666,0,0,0,0,0,38,402,0
10.10.0.6:2916,41,325887,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266142,671761,412961,171761,0,0,0,2488,7425,2488,674249,420386,174249,0.63403875,0,0,0,0,0,26,307,0
10.10.0.22:2917,1,327682,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,296159,666511,950311,166511,383,1900,383,627,1528,627,667521,953739,167521,1.0026642,0,0,0,0,0,38,358,0
10.10.0.14:2917,59,326133,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,265719,674355,413612,174355,14,39,14,2202,7193,2202,676571,420844,176571,0.6882574,0,0,0,0,0,27,380,0
10.10.0.15:2917,75,325542,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,267187,672991,413813,172991,52,110,52,1668,5798,1668,674711,419721,174711,1.447178,0,0,0,0,0,36,264,0
10.10.0.5:2916,70,326165,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,268069,680412,422112,180412,434,955,434,2350,5959,2350,683196,429026,183196,1.3008769,0,0,0,0,0,34,263,0
10.10.0.14:2914,66,325823,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266259,673461,415308,173461,256,510,256,1655,6071,1655,675372,421889,175372,1.2286052,0,0,0,0,0,33,195,0
10.10.0.5:2912,47,325885,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,258850,680340,416595,180340,380,895,380,4393,13039,4393,685113,430529,185113,2.5389068,0,0,0,0,0,39,335,0
10.10.0.22:2914,2,328413,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,286219,670234,1487837,170234,448,3052,448,2486,7683,2486,673168,1498572,173168,1.1949276,0,0,0,0,0,39,108,0
10.10.0.3:2913,50,326140,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266472,672547,413492,172547,186,454,186,1654,5881,1654,674387,419827,174387,1.8779926,0,0,0,0,0,38,240,0
10.10.0.8:2914,28,328531,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,267954,671696,412731,171696,26,71,26,2258,6134,2258,673980,418936,173980,3.0140905,0,0,0,0,1,39,396,0
10.10.0.6:2917,67,326171,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266663,673851,415027,173851,36,91,36,1683,6100,1683,675570,421218,175570,1.2597847,0,0,0,0,0,34,287,0
10.10.0.18:2916,90,324677,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,276029,667861,411130,167861,526,1244,526,893,2936,893,669280,415310,169280,0.60483253,0,0,0,0,0,25,219,0
10.10.0.6:2913,55,325675,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259225,680037,416431,180037,413,1060,413,5000,13200,5000,685450,430691,185450,2.3723435,0,0,0,0,0,39,386,0
10.10.0.9:2915,107,324080,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,301364,654030,399276,154030,80,183,80,12,75,12,654122,399534,154122,2.8728368,0,0,0,0,1,39,404,0
10.10.0.7:2912,18,328188,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,266586,669481,411273,169481,537,1221,537,3140,7069,3140,673158,419563,173158,1.5134103,0,0,0,0,0,35,415,0
10.10.0.23:2915,93,325151,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,277148,674714,417359,174714,479,1221,479,1405,3403,1405,676598,421983,176598,1.7705666,0,0,0,0,0,38,293,0
10.10.0.22:2915,5,328573,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,259536,676093,413188,176093,399,891,399,9933,18038,9933,686425,432117,186425,2.626203,0,0,0,0,1,39,394,0
10.10.0.8:2912,23,328006,32,500000,2048,5,3000,"[35,36,38,48,51]",OK,258900,677894,414142,177894,340,867,340,6316,14878,6316,684550,429887,184550,2.2017157,0,0,0,0,0,39,359,0
