InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.9:2913,55,275559,16,500000,2048,0,3000,"[39,43,45]",OK,253326,821202,596185,321202,532,1181,532,183,445,183,821917,597811,321917,3.4591134,0,0,0,0,1,39,2141,0
10.10.0.11:2916,37,275189,16,500000,2048,0,3000,"[39,43,45]",OK,252719,877211,651341,377211,426,781,426,1177,1888,1177,878814,654010,378814,3.5461216,0,0,0,0,1,39,1971,0
10.10.0.3:2914,67,274704,16,500000,2048,0,3000,"[39,43,45]",OK,252885,894904,668897,394904,6,38,6,2793,4264,2793,897703,673199,397703,5.146374,0,0,0,0,1,39,2546,0
10.10.0.9:2916,68,275555,16,500000,2048,0,3000,"[39,43,45]",OK,253037,942804,716487,442804,4,36,4,2138,3488,2138,944946,720011,444946,2.6443472,0,0,0,0,1,39,2469,0
10.10.0.8:2915,95,273918,16,500000,2048,0,3000,"[39,43,45]",OK,253224,896017,671587,396017,263,608,263,566,1006,566,896846,673201,396846,3.3482304,0,0,0,0,1,39,2203,0
10.10.0.8:2913,74,274025,16,500000,2048,0,3000,"[39,43,45]",OK,256636,2313222,2088115,1813222,4627,5203,4627,1,3,1,2317850,2093321,1817850,14.041227,0,0,0,0,1,311,3134,0
10.10.0.6:2912,97,272798,16,500000,2048,0,3000,"[39,43,45]",OK,253294,1078997,853540,578997,648,999,648,1146,1564,1146,1080791,856103,580791,3.165556,0,0,0,0,1,39,2220,0
10.10.0.6:2914,104,272435,16,500000,2048,0,3000,"[39,43,45]",OK,254809,1720671,1495722,1220671,31,36,31,372,695,372,1721074,1496453,1221074,9.795864,0,0,0,0,1,59,2463,0
10.10.0.3:2915,65,274704,16,500000,2048,0,3000,"[39,43,45]",OK,252650,974537,748919,474537,721,1366,721,682,1191,682,975940,751476,475940,5.8086963,0,0,0,0,1,39,1874,0
10.10.0.23:2912,82,272746,16,500000,2048,0,3000,"[39,43,45]",OK,253094,920346,695963,420346,724,1331,724,594,970,594,921664,698264,421664,2.115966,0,0,0,0,1,33,2531,0
10.10.0.17:2912,66,274639,16,500000,2048,0,3000,"[39,43,45]",OK,254218,1104094,880204,604094,1018,1688,1018,224,379,224,1105336,882271,605336,1.9802895,0,0,0,0,1,36,1924,0
10.10.0.4:2917,23,277325,16,500000,2048,0,3000,"[39,43,45]",OK,253082,874469,649445,374469,131,309,131,754,1570,754,875354,651324,375354,4.6882167,0,0,0,0,1,40,1782,0
10.10.0.6:2916,92,272436,16,500000,2048,0,3000,"[39,43,45]",OK,253064,763189,537895,263189,644,1207,644,313,688,313,764146,539790,264146,2.7990181,0,0,0,0,1,39,1934,0
10.10.0.22:2917,91,273128,16,500000,2048,0,3000,"[39,43,45]",OK,252897,823696,599249,323696,53,190,53,1326,2355,1326,825075,601794,325075,2.8658943,0,0,0,0,1,39,2006,0
10.10.0.14:2917,4,276899,16,500000,2048,0,3000,"[39,43,45]",OK,252945,908246,682631,408246,317,462,317,1418,2445,1418,909981,685538,409981,7.162849,0,0,0,0,6,40,2281,0
10.10.0.15:2917,88,272680,16,500000,2048,0,3000,"[39,43,45]",OK,252737,902386,677289,402386,65,195,65,1819,3053,1819,904270,680537,404270,3.806444,0,0,0,0,1,39,2260,0
10.10.0.14:2914,2,277104,16,500000,2048,0,3000,"[39,43,45]",OK,253694,1039669,1893948,539669,795,2598,795,179,1581,179,1040643,1898127,540643,5.993711,0,0,0,0,1,40,2500,0
10.10.0.5:2916,35,274813,16,500000,2048,0,3000,"[39,43,45]",OK,252912,918658,694010,418658,606,1245,606,1186,1542,1186,920450,696797,420450,6.033922,0,0,0,0,1,40,2641,0
10.10.0.5:2912,31,275376,16,500000,2048,0,3000,"[39,43,45]",OK,252835,728108,503365,228108,508,1115,508,505,1000,505,729121,505480,229121,2.981847,0,0,0,0,1,39,2190,0
10.10.0.22:2914,98,272890,16,500000,2048,0,3000,"[39,43,45]",OK,255613,2067570,1842822,1567570,1739,2114,1739,61,129,61,2069370,1845065,1569370,9.886943,0,0,0,0,1,166,2935,0
10.10.0.8:2914,73,273941,16,500000,2048,0,3000,"[39,43,45]",OK,252871,917790,691688,417790,31,68,31,2225,3708,2225,920046,695464,420046,2.6169233,0,0,0,0,1,38,2609,0
10.10.0.3:2913,51,274704,16,500000,2048,0,3000,"[39,43,45]",OK,252679,809341,583622,309341,26,53,26,1714,3384,1714,811081,587059,311081,2.027934,0,0,0,0,1,35,2539,0
10.10.0.6:2917,102,272160,16,500000,2048,0,3000,"[39,43,45]",OK,255198,1894973,1669843,1394973,0,0,0,553,771,553,1895526,1670614,1395526,9.497681,0,0,0,0,1,112,2376,0
10.10.0.6:2913,96,272878,16,500000,2048,0,3000,"[39,43,45]",OK,252763,1103086,876723,603086,516,888,516,959,1644,959,1104561,879255,604561,2.5795453,0,0,0,0,1,39,2192,0
10.10.0.18:2916,27,277188,16,500000,2048,0,3000,"[39,43,45]",OK,256532,2685100,2460332,2185100,4933,5607,4933,0,4,0,2690033,2465943,2190033,17.141289,0,0,0,0,1,272,3060,0
10.10.0.7:2912,72,274220,16,500000,2048,0,3000,"[39,43,45]",OK,252616,908655,683696,408655,29,48,29,2472,4155,2472,911156,687899,411156,4.0402427,0,0,0,0,1,39,2024,0
10.10.0.9:2915,49,274885,16,500000,2048,0,3000,"[39,43,45]",OK,252775,1222376,997126,722376,1182,1768,1182,1045,1537,1045,1224603,1000431,724603,1.6642927,0,0,0,0,1,34,2324,0
10.10.0.23:2915,101,273021,16,500000,2048,0,3000,"[39,43,45]",OK,253131,1171301,946108,671301,0,0,0,3059,4519,3059,1174360,950627,674360,2.6484616,0,0,0,0,1,39,1747,0
10.10.0.22:2915,100,272616,16,500000,2048,0,3000,"[39,43,45]",OK,254931,1987764,1763196,1487764,0,0,0,939,1266,939,1988703,1764462,1488703,9.060116,0,0,0,0,1,61,2811,0
10.10.0.8:2912,84,273633,16,500000,2048,0,3000,"[39,43,45]",OK,252798,970069,744295,470069,562,1230,562,956,1429,956,971587,746954,471587,4.5836463,0,0,0,0,1,40,2368,0
10.10.0.6:2915,90,272337,16,500000,2048,0,3000,"[39,43,45]",OK,252936,920597,695007,420597,50,171,50,1389,2445,1389,922036,697623,422036,1.6139362,0,0,0,0,1,33,1864,0
10.10.0.10:2913,16,276437,16,500000,2048,0,3000,"[39,43,45]",OK,252971,819812,593728,319812,48,83,48,1358,2683,1358,821218,596494,321218,4.1081233,0,0,0,0,1,40,1791,0
10.10.0.23:2913,94,273837,16,500000,2048,0,3000,"[39,43,45]",OK,256278,2281118,2055537,1781118,1055,1410,1055,8,40,8,2282181,2056987,1782181,13.013426,0,0,0,0,1,246,2968,0
10.10.0.7:2915,62,274321,16,500000,2048,0,3000,"[39,43,45]",OK,252873,743458,518857,243458,556,1159,556,513,953,513,744527,520969,244527,3.3174047,0,0,0,0,1,39,2361,0
10.10.0.4:2915,21,277573,16,500000,2048,0,3000,"[39,43,45]",OK,252951,846670,621559,346670,630,1296,630,622,1023,622,847922,623878,347922,7.829986,0,0,0,0,9,40,2557,0
10.10.0.20:2917,43,275329,16,500000,2048,0,3000,"[39,43,45]",OK,252855,845794,619761,345794,25,62,25,1546,3080,1546,847365,622903,347365,2.6564827,0,0,0,0,1,39,1679,0
10.10.0.18:2913,24,276129,16,500000,2048,0,3000,"[39,43,45]",OK,252892,851386,626323,351386,686,1053,686,577,1229,577,852649,628605,352649,2.3089364,0,0,0,0,1,38,2243,0
10.10.0.28:2913,6,276848,16,500000,2048,0,3000,"[39,43,45]",OK,253045,885474,660513,385474,622,990,622,812,1338,812,886908,662841,386908,2.5885515,0,0,0,0,1,38,2107,0
10.10.0.15:2913,93,273237,16,500000,2048,0,3000,"[39,43,45]",OK,252869,756780,531714,256780,281,643,281,819,1463,819,757880,533820,257880,4.3372335,0,0,0,0,1,40,2518,0
10.10.0.22:2916,99,273075,16,500000,2048,0,3000,"[39,43,45]",OK,253085,1084681,858838,584681,0,0,0,4117,5720,4117,1088798,864558,588798,5.610764,0,0,0,0,1,40,2046,0
10.10.0.15:2915,87,273513,16,500000,2048,0,3000,"[39,43,45]",OK,252652,843170,617137,343170,93,227,93,1785,3057,1785,845048,620421,345048,3.0831532,0,0,0,0,1,39,2056,0
