InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,49,370387,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,162488,432778,301117,232778,0,0,0,73008,94608,73008,505786,395725,305786,16.8796,0,0,0,0,1,176,5537,0
10.10.0.33:2915,57,358880,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,152267,397802,263311,197802,3399,4240,3399,41725,65490,41725,442926,333041,242926,6.307752,0,0,0,0,1,43,5564,0
10.10.0.29:2912,36,370381,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,274726,524879,413646,324879,3258,3891,3258,3054,3423,3054,531191,420960,331191,1033.7001,0,0,1,28,68,7801,14456,0
10.10.0.32:2915,21,375357,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,156516,392281,259849,192281,2401,3053,2401,86100,108296,86100,480782,371198,280782,33.720253,0,0,0,0,1,277,8619,0
10.10.0.11:2912,14,371377,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,179668,259861,135133,59861,31,132,31,11708,26534,11708,271600,161799,71600,24.13793,0,0,0,1,1,1135,7233,0
10.10.0.29:2913,52,370380,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,148226,326268,189760,126268,729,1214,729,81125,106801,81125,408122,297775,208122,9.084712,0,0,0,0,1,66,6598,0
10.10.0.11:2914,29,371378,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,151890,255931,120883,55931,665,1527,665,15126,38841,15126,271722,161251,71722,13.069587,0,0,0,0,1,68,7779,0
10.10.0.4:2912,25,375045,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,173019,267413,139993,67413,23,109,23,27619,44785,27619,295055,184887,95055,39.234215,0,0,0,1,1,730,7603,0
10.10.0.26:2912,51,366636,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,259618,559380,448061,359380,0,0,0,5256,7184,5256,564636,455245,364636,417.10098,0,0,1,12,36,5193,8147,0
10.10.0.32:2913,18,375296,12,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,158850,400567,268970,200567,2805,3626,2805,67955,88869,67955,471327,361465,271327,11.61251,0,0,0,0,1,76,8665,0
