InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,19,505531,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,241927,483955,296947,183955,0,0,0,33266,55264,33266,517221,352211,217221,19.446835,0,0,0,0,1,333,4034,0
10.10.0.29:2912,52,502126,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,239750,593179,405719,293179,813,1238,813,55507,77751,55507,649499,484708,349499,18.321913,0,0,0,0,1,91,6903,0
10.10.0.33:2915,56,496355,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,239170,592347,404415,292347,5,13,5,44621,67566,44621,636973,471994,336973,4.7044897,0,0,0,0,1,59,4832,0
10.10.0.32:2915,39,502620,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,378044,553166,386255,253166,1046,1467,1046,5184,6617,5184,559396,394339,259396,81.52635,0,0,0,1,27,1524,8313,0
10.10.0.11:2912,44,500628,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,243216,533155,346986,233155,861,1243,861,34102,54819,34102,568118,403048,268118,7.4351244,0,0,0,0,1,79,3393,0
10.10.0.29:2913,29,503268,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,303638,506911,332818,206911,173,421,173,12714,21672,12714,519798,354911,219798,54.133995,0,0,0,1,1,2175,3952,0
10.10.0.4:2912,22,504390,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,280495,583800,406035,283800,1364,1763,1364,5489,18272,5489,590653,426070,290653,23.633736,0,0,0,1,1,575,3711,0
10.10.0.11:2914,25,503126,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,319730,531297,359764,231297,651,891,651,11990,18646,11990,543938,379301,243938,62.88927,0,0,0,1,8,2106,7398,0
10.10.0.32:2913,32,502621,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,237759,492563,303614,192563,29,38,29,33362,57135,33362,525954,360787,225954,3.7247794,0,0,0,0,1,67,3338,0
10.10.0.26:2912,0,508626,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,313506,714839,1051616,414839,1884,3907,1884,8175,44859,8175,724898,1100382,424898,67.51211,0,0,1,2,6,1657,4941,0
10.10.0.5:2913,36,504022,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,275404,563456,383989,263456,9,16,9,9030,23102,9030,572495,407107,272495,14.7240305,0,0,0,0,1,311,2081,0
10.10.0.3:2914,30,498623,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,231036,456390,265267,156390,242,467,242,32169,58078,32169,488801,323812,188801,12.201095,0,0,0,0,1,122,3907,0
10.10.0.18:2913,9,505878,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,235136,452811,1001912,152811,429,3289,429,33090,215919,33090,486330,1221120,186330,29.431921,0,0,0,1,2,1072,3556,0
10.10.0.4:2914,12,504392,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,234032,435391,245430,135391,370,604,370,13990,38556,13990,449751,284590,149751,37.133728,0,0,0,1,1,2017,3679,0
10.10.0.5:2914,53,499374,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,321599,599704,428165,299704,556,964,556,22096,28363,22096,622356,457492,322356,28.984232,0,0,0,1,6,676,2923,0
10.10.0.26:2913,1,508359,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,296021,687086,1508758,387086,1269,4896,1269,19259,109939,19259,707614,1623593,407614,17.955051,0,0,1,1,4,406,3727,0
10.10.0.26:2914,2,505859,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,385727,734221,1103390,434221,18,81,18,202,6008,202,734441,1109479,434441,246.87079,0,0,1,4,63,2372,4288,0
10.10.0.15:2914,5,508503,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,240075,509016,1220387,209016,854,4301,854,100698,300239,100698,610568,1524927,310568,797.1938,0,0,3,13,1915,5494,13391,0
10.10.0.3:2912,47,497880,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,425325,509369,343021,209369,794,1297,794,5,39,5,510168,344357,210168,904.596,0,0,1,33,258,7826,11244,0
10.10.0.13:2914,50,500850,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,243511,586905,400064,286905,1313,1727,1313,66442,87656,66442,654660,489447,354660,18.741503,0,0,0,0,1,105,11054,0
10.10.0.9:2915,15,500626,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,237330,405856,216643,105856,37,50,37,19240,43129,19240,425133,259822,125133,55.06371,0,0,0,1,1,2329,3834,0
10.10.0.5:2915,42,504020,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,236467,506368,317597,206368,935,1316,935,76880,100204,76880,584183,419117,284183,16.914104,0,0,0,0,1,168,8201,0
10.10.0.12:2915,11,506284,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,230419,417585,225767,117585,283,528,283,21246,47507,21246,439114,273802,139114,39.862114,0,0,0,1,1,2099,3937,0
10.10.0.15:2913,3,505123,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,242244,476110,1345280,176110,315,2719,315,151921,375369,151921,628346,1723368,328346,743.601,0,0,1,13,1895,3413,11532,0
10.10.0.29:2914,31,502128,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,227172,391108,198258,91108,17,28,17,26893,55642,26893,418018,253928,118018,54.73291,0,0,0,1,1,2377,8565,0
10.10.0.11:2913,38,499885,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,300735,525674,350894,225674,1241,1691,1241,8927,17893,8927,535842,370478,235842,15.060263,0,0,0,1,1,180,8141,0
10.10.0.10:2915,49,497626,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,349259,626357,457425,326357,716,1102,716,35452,38923,35452,662525,497450,362525,60.73161,0,0,0,1,16,1352,11203,0
10.10.0.33:2914,54,493592,10,300000,65536,2,3000,"[3,9,12,19,21,27,31,39,46,51,55]",OK,240422,553293,366469,253293,295,534,295,42152,64394,42152,595740,431397,295740,4.657559,0,0,0,0,1,69,3084,0
