InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.4:2913,6,384486,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,160101,264900,1300450,64900,1140,12319,1140,60663,701871,60663,326703,2014640,126703,1297.1179,0,0,2,60,1242,8042,9030,0
10.10.0.33:2915,37,375505,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,260436,408782,294575,208782,549,927,549,10580,14227,10580,419911,309729,219911,30.602333,0,0,0,1,13,458,5859,0
10.10.0.29:2912,43,370670,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,176073,342994,208607,142994,1342,1807,1342,64866,89360,64866,409202,299774,209202,31.703957,0,0,0,1,1,87,7314,0
10.10.0.32:2915,16,379257,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,163403,322283,183358,122283,917,1440,917,60630,89071,60630,383830,273869,183830,13.681957,0,0,0,0,1,96,5265,0
10.10.0.11:2912,39,371745,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,223123,383865,263617,183865,1238,1740,1238,26774,37127,26774,411877,302484,211877,19.444628,0,0,0,0,1,103,6635,0
10.10.0.29:2913,59,370671,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,157881,486635,344529,286635,17,25,17,111995,143925,111995,598647,488479,398647,25.367077,0,0,0,0,1,176,7380,0
10.10.0.11:2914,28,371429,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,221545,301952,180294,101952,14,52,14,11499,23149,11499,313465,203495,113465,60.096928,0,0,0,1,1,2594,7675,0
10.10.0.4:2912,1,379416,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,152776,517623,908294,317623,1313,5192,1313,204863,541492,204863,723799,1454978,523799,165.46628,0,0,2,7,28,3643,6923,0
10.10.0.32:2913,5,384052,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,215083,424779,915849,224779,7,253,7,13490,133474,13490,438276,1049576,238276,26.906485,0,0,0,1,8,892,2471,0
10.10.0.26:2912,44,375189,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,153057,323664,181144,123664,2528,3030,2528,121597,154092,121597,447789,338266,247789,75.695145,0,0,0,0,1,3780,9612,0
10.10.0.3:2914,51,369860,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,244350,415790,299482,215790,7,31,7,10863,17577,10863,426660,317090,226660,25.761232,0,0,0,1,1,151,6687,0
10.10.0.18:2913,14,379617,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,148154,271358,126957,71358,271,745,271,22684,56635,22684,294313,184337,94313,28.002733,0,0,0,1,1,811,6077,0
10.10.0.4:2914,3,379201,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,152213,469704,631278,269704,2645,5775,2645,136652,341702,136652,609001,978755,409001,35.019787,0,0,2,5,10,722,5368,0
10.10.0.5:2913,45,375505,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,207572,341146,216294,141146,1314,1878,1314,18203,32668,18203,360663,250840,160663,38.062122,0,0,0,0,1,93,7546,0
10.10.0.26:2913,25,380302,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,250406,405598,289617,205598,115,141,115,7026,12639,7026,412739,302397,212739,9.729994,0,0,0,1,1,132,4727,0
10.10.0.5:2914,40,375503,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,292446,528877,417769,328877,1247,1804,1247,1039,1263,1039,531163,420836,331163,1828.8501,0,0,1,35,4401,7126,13420,0
10.10.0.15:2914,29,375955,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,173709,265611,129601,65611,524,864,524,26910,52439,26910,293045,182904,93045,60.70597,0,0,0,1,1,2596,7677,0
10.10.0.26:2914,38,375188,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,254354,466260,351466,266260,2989,3802,2989,25834,30137,25834,495083,385405,295083,71.11773,0,0,0,1,9,2412,7790,0
10.10.0.3:2912,58,369179,10,200000,65536,0,3000,"[2,9,19,23,34,40,55]",OK,257576,575105,460583,375105,1974,2468,1974,27711,31698,27711,604790,494749,404790,266.1487,0,0,0,7,37,4644,13671,0
