InstanceId,InstanceIndex,TestDuration,NMax,NumMessages,MessageSize,ExtraConnectionsCount,ReRoutingFrequency,DataDistribution,TestStatus,SimulationTime,MessagesSentDuringSimulation,MessagesReceivedDuringSimulation,MessagesForwardedDuringSimulation,MessagesSentBeforeSimulation,MessagesReceivedBeforeSimulation,MessagesForwardedBeforeSimulation,MessagesSentAfterSimulation,MessagesReceivedAfterSimulation,MessagesForwardedAfterSimulation,TotalMessagesSent,TotalMessagesReceived,TotalMessagesForwarded,AverageLatency,MinLatency,1PercentileLatency,25PercentileLatency,MedianLatency,75PercentileLatency,99PercentileLatency,MaxLatency,RemoteTimestampDiff
10.10.0.15:2914,137,303389,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,257546,873859,571306,373859,312,681,312,3108,5205,3108,877279,577192,377279,3.5585144,-1,-1,0,0,0,39,1625,0
10.10.0.4:2918,21,306647,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,258491,904370,602148,404370,1631,2264,1631,2243,3514,2243,908244,607926,408244,4.462157,0,0,0,0,1,39,1546,0
10.10.0.3:2918,70,303635,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,257278,902198,599502,402198,1315,1762,1315,4137,6274,4137,907650,607538,407650,2.6914678,0,0,0,0,1,39,1620,0
10.10.0.6:2918,1,306885,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,261757,1500728,5684985,1000728,6172,13685,6172,2229,12287,2229,1509129,5710957,1009129,4.037581,-1,-1,0,0,1,39,2182,0
10.10.0.10:2921,168,300865,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,267833,1112548,811362,612548,2429,3082,2429,6,15,6,1114983,814459,614983,3.7904806,0,0,0,0,1,39,1921,0
10.10.0.16:2920,173,298407,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,262195,1081250,781190,581250,183,233,183,2204,2774,2204,1083637,784197,583637,1.9684595,-1,0,0,0,0,37,1315,0
10.10.0.18:2917,135,302693,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,257839,871579,568916,371579,876,1212,876,2369,4200,2369,874824,574328,374824,2.5806787,0,0,0,0,1,39,1409,0
10.10.0.20:2914,118,302829,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,262006,942569,642208,442569,1009,1661,1009,507,773,507,944085,644642,444085,6.8255405,0,0,0,0,9,40,1240,0
10.10.0.5:2917,52,304424,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,262874,1072038,771123,572038,1930,2507,1930,85,297,85,1074053,773927,574053,3.619995,0,0,0,0,1,39,1410,0
10.10.0.15:2918,142,303386,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,256578,756906,454154,256906,1011,1650,1011,3364,5728,3364,761281,461532,261281,7.0188136,-1,-1,0,0,9,42,1497,0
10.10.0.20:2918,117,302900,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,258126,900105,597738,400105,515,838,515,2647,4436,2647,903267,603012,403267,3.7940588,0,0,0,0,1,39,1138,0
10.10.0.28:2915,108,303044,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,257825,783208,481276,283208,496,897,496,2797,4552,2797,786501,486725,286501,7.006994,0,0,0,0,5,44,1838,0
10.10.0.20:2921,113,302929,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,257297,954938,652603,454938,567,976,567,4749,6822,4749,960254,660401,460254,5.310625,0,0,0,0,1,39,1317,0
10.10.0.11:2912,60,304063,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,263799,1175159,876094,675159,1518,1860,1518,1178,1345,1178,1177855,879299,677855,2.8302262,0,0,0,0,1,39,2037,0
10.10.0.16:2919,177,300111,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,262757,1553064,1252036,1053064,3272,3602,3272,1044,1305,1044,1557380,1256943,1057380,3.0672498,-1,-1,0,0,0,39,1855,0
10.10.0.6:2921,0,307031,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,260613,1594810,4877608,1094810,6640,13009,6640,2356,16039,2356,1603806,4906656,1103806,3.9963193,-1,-1,0,0,1,39,1433,0
10.10.0.14:2912,43,304711,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,259162,861928,560145,361928,888,1264,888,1750,2939,1750,864566,564348,364566,5.415414,0,0,0,0,1,39,1956,0
10.10.0.18:2919,131,302694,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,261568,1205377,904716,705377,23,27,23,1518,2567,1518,1206918,907310,706918,3.080667,0,0,0,0,1,39,1447,0
10.10.0.11:2920,56,302293,13,500000,2048,3,3000,"[4,9,19,24,31,39,49,55,60]",OK,260073,1054477,752626,554477,1695,2310,1695,2408,3098,2408,1058580,758034,558580,2.4838095,0,0,0,0,1,38,1628,0
